
59710
Backend TkAgg is interactive backend. Turning interactive mode on.
Epoch 0 / 2 | /home/jayaram/research/research_tracks/table_top_rearragement/test_diffusion_planning/logs/maze2d-large-v1/diffusion
0:   9.7431  | t:   1.7125
100:   9.5653  | t:  78.2877
[ utils/training ] Saved model to /home/jayaram/research/NLP_course_papers_and_content/Assignments/Assign_1/logs/NNLM/state_0.pt
one batch val time: 0.15549540519714355
one batch val time: 0.1404709815979004
one batch val time: 0.14140939712524414
one batch val time: 0.14024972915649414
one batch val time: 0.15415167808532715
one batch val time: 0.1409144401550293
one batch val time: 0.14017367362976074
one batch val time: 0.13870692253112793
one batch val time: 0.15657329559326172
one batch val time: 0.1409013271331787
one batch val time: 0.14023995399475098
one batch val time: 0.13941740989685059
one batch val time: 0.1563870906829834
one batch val time: 0.14049100875854492
one batch val time: 0.14015841484069824
one batch val time: 0.14152240753173828
one batch val time: 0.15740966796875
one batch val time: 0.1426098346710205
one batch val time: 0.1429276466369629
one batch val time: 0.14443325996398926
one batch val time: 0.16181588172912598
one batch val time: 0.14667129516601562
one batch val time: 0.1472644805908203
one batch val time: 0.1456012725830078
one batch val time: 0.1664578914642334
one batch val time: 0.15035223960876465
one batch val time: 0.1511530876159668
one batch val time: 0.14944005012512207
one batch val time: 0.16548657417297363
one batch val time: 0.15054035186767578
one batch val time: 0.1501631736755371
one batch val time: 0.14926838874816895
one batch val time: 0.16560912132263184
one batch val time: 0.15065240859985352
one batch val time: 0.150590181350708
one batch val time: 0.14966678619384766
one batch val time: 0.16581940650939941
one batch val time: 0.15097904205322266
one batch val time: 0.1504051685333252
one batch val time: 0.1489114761352539
one batch val time: 0.16556930541992188
one batch val time: 0.15048575401306152
one batch val time: 0.15040874481201172
one batch val time: 0.14922833442687988
one batch val time: 0.16539907455444336
one batch val time: 0.15116620063781738
one batch val time: 0.14997291564941406
one batch val time: 0.1494886875152588
one batch val time: 0.16629672050476074
one batch val time: 0.15033650398254395
one batch val time: 0.1501603126525879
one batch val time: 0.14969372749328613
one batch val time: 0.16625118255615234
one batch val time: 0.15003585815429688
one batch val time: 0.1502668857574463
one batch val time: 0.14899158477783203
one batch val time: 0.16496920585632324
one batch val time: 0.15008544921875
one batch val time: 0.15031790733337402
one batch val time: 0.14986348152160645
one batch val time: 0.1655597686767578
one batch val time: 0.15048623085021973
one batch val time: 0.15024328231811523
one batch val time: 0.1501760482788086
one batch val time: 0.1666104793548584
one batch val time: 0.1520857810974121
one batch val time: 0.15167641639709473
one batch val time: 0.1511545181274414
one batch val time: 0.16655540466308594
one batch val time: 0.15200090408325195
one batch val time: 0.15181565284729004
one batch val time: 0.1511375904083252
one batch val time: 0.16553544998168945
one batch val time: 0.1521010398864746
one batch val time: 0.1517961025238037
one batch val time: 0.15082335472106934
one batch val time: 0.1672813892364502
one batch val time: 0.15256357192993164
one batch val time: 0.1514756679534912
one batch val time: 0.15107250213623047
one batch val time: 0.16656970977783203
one batch val time: 0.15236210823059082
one batch val time: 0.15214967727661133
one batch val time: 0.15101981163024902
one batch val time: 0.16648507118225098
one batch val time: 0.15246272087097168
one batch val time: 0.15203475952148438
one batch val time: 0.15135860443115234
one batch val time: 0.16616058349609375
one batch val time: 0.15234375
one batch val time: 0.1518704891204834
one batch val time: 0.1516118049621582
one batch val time: 0.1673874855041504
one batch val time: 0.15213751792907715
one batch val time: 0.15192222595214844
one batch val time: 0.15131449699401855
